2023-05-15 13:20:55.327 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 31013 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 13:20:55.334 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 13:20:56.197 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.183 seconds (JVM running for 1.536)
2023-05-15 13:20:56.200 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 13:20:56.201 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:20:56.202 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 13:20:56.202 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 13:20:56.366 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 13:20:56.366 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 13:21:27.215 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 31218 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 13:21:27.217 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 13:21:27.932 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.01 seconds (JVM running for 1.347)
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 13:21:27.935 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:21:27.936 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 13:21:27.936 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 13:21:28.043 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 13:21:28.043 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 13:22:24.894 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 31380 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 13:22:24.896 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 13:22:25.802 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.184 seconds (JVM running for 1.521)
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 13:22:25.805 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:22:25.806 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 13:22:25.807 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 13:22:25.918 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 13:22:25.919 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 13:27:00.402 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 31816 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 13:27:00.404 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 13:27:01.056 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.936 seconds (JVM running for 1.257)
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 13:27:01.058 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:27:01.059 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 13:27:01.059 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 13:27:01.157 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 13:27:01.157 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 13:30:03.683 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 32053 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 13:30:03.685 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 13:30:04.164 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.753 seconds (JVM running for 1.054)
2023-05-15 13:30:04.166 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 13:30:04.166 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
